Chapter,Unit,Lesson,Topic,Fact,Flashcard_Question,Flashcard_Answer,Quiz_Question,Quiz_Options,Quiz_CorrectAnswer,Quiz_Explanation,Match_Term,Match_Definition,VisualisationIdea
ASSAM,Physiographic Divisions & Conservation,Brahmaputra Valley,North Bank Tributaries (Brahmaputra),"Alluvial plain from Sadiya to Dhubri, annual monsoonal floods.",What is a key geographical feature of North Bank Tributaries (Brahmaputra) in Brahmaputra Valley?,Subansiri River.,Which is the largest North Bank tributary of the Brahmaputra River in Assam?,A: Pagladiya; B: Manas; C: Jia Bharali; D: Subansiri,D,"Official Syllabus Fact: Alluvial plain from Sadiya to Dhubri, annual monsoonal floods.",Subansiri Sub-tributaries,Ranganadi and Dikrong.,Top-Down CSS Tree Diagram merging into a thick horizontal central line (the Brahmaputra).
ASSAM,Physiographic Divisions & Conservation,Brahmaputra Valley,North Bank Tributaries (Brahmaputra),"Tributaries: Siku/Jiari, Gai, Jiadhol, Subansiri, Buroi, Borgang, Jia Bharali (Kameng), Gabharu, Belsiri, Dhansiri (North), Puthimari, Pagladiya, Manas, Tipkai, Sankosh, Raidak (Gadadhar).",Which north-bank tributaries feed into the river system in Brahmaputra Valley?,Ranganadi and Dikrong rivers.,Which two rivers act as significant sub-tributaries for the Manas River network?,A: Ranganadi and Dikrong; B: Dhaleshwari and Katakhal; C: Beki and Aie; D: Jiri and Chiri,C,"Official Syllabus Fact: Siku/Jiari, Gai, Jiadhol, Subansiri, Buroi, Borgang, Jia Bharali (Kameng), Gabharu, Belsiri, Dhansiri (North), Puthimari, Pagladiya, Manas, Tipkai, Sankosh, Raidak (Gadadhar).",Manas Sub-tributaries,Beki and Aie.,Top-Down CSS Tree Diagram merging into a thick horizontal central line (the Brahmaputra).
ASSAM,Physiographic Divisions & Conservation,Brahmaputra Valley,North Bank Tributaries (Brahmaputra),Sub-basin Notes: Ranganadi and Dikrong join the Subansiri network near the Brahmaputra; Beki and Aie act as significant sub-tributaries for Manas.,Which north-bank tributaries feed into the river system in Brahmaputra Valley?,Beki and Aie rivers.,Jia Bharali is known by which alternate name in Arunachal Pradesh?,A: Dihang; B: Lohit; C: Subansiri; D: Kameng,D,Official Syllabus Fact: Ranganadi and Dikrong join the Subansiri network near the Brahmaputra; Beki and Aie act as significant sub-tributaries for Manas.,Jia Bharali Alias,Kameng River.,Top-Down CSS Tree Diagram merging into a thick horizontal central line (the Brahmaputra).
ASSAM,Physiographic Divisions & Conservation,Brahmaputra Valley,South Bank Tributaries (Brahmaputra),"Alluvial plain from Sadiya to Dhubri, annual monsoonal floods.",What is a key geographical feature of South Bank Tributaries (Brahmaputra) in Brahmaputra Valley?,Bhogdoi River.,Which of the following is a South Bank tributary of the Brahmaputra River?,A: Subansiri; B: Manas; C: Jia Bharali; D: Burhi Dihing,D,"Official Syllabus Fact: Alluvial plain from Sadiya to Dhubri, annual monsoonal floods.",Jorhat River,Bhogdoi River.,Bottom-Up CSS Tree Diagram merging into a thick horizontal central line.
ASSAM,Physiographic Divisions & Conservation,Brahmaputra Valley,South Bank Tributaries (Brahmaputra),"Tributaries: Burhi Dihing, Disang, Dikhou, Jhanji, Bhogdoi, Dhansiri (South), Kopili, Kulsi, Krishnai, Dudhnoi, Jinjiram.",Which south-bank tributaries feed into the river system in Brahmaputra Valley?,Kulsi River.,Which South Bank river flows directly through Jorhat city?,A: Bhogdoi; B: Disang; C: Dikhou; D: Kopili,A,"Official Syllabus Fact: Burhi Dihing, Disang, Dikhou, Jhanji, Bhogdoi, Dhansiri (South), Kopili, Kulsi, Krishnai, Dudhnoi, Jinjiram.",Sivasagar River,Dikhou River.,Bottom-Up CSS Tree Diagram merging into a thick horizontal central line.
ASSAM,Physiographic Divisions & Conservation,Central Hills,Central Hills,"Karbi Anglong & Dima Hasao, Meghalaya Plateau extension, Barail Range, and Haflong hill station.",What is a key geographical feature of Central Hills in Central Hills?,"Karbi Anglong & Dima Hasao, Meghalaya Plateau extension, Barail Range, and Haflong hill station.",Which statement identifies statement describes a key geographical feature of Central Hills in Central Hills?,"A: It is an isolated coral atoll reef structure in the Lakshadweep archipelago.; B: It forms part of the Malabar coastal plains with signature backwater kayals in Kerala.; C: Karbi Anglong & Dima Hasao, Meghalaya Plateau extension, Barail Range, and Haflong hill station.; D: It is a high-altitude glaciated valley situated in the Pir Panjal range of Jammu & Kashmir.",C,"Official ASSAM Syllabus Fact: Karbi Anglong & Dima Hasao, Meghalaya Plateau extension, Barail Range, and Haflong hill station.",Karbi Anglong & Dima Hasa,"Karbi Anglong & Dima Hasao, Meghalaya Plateau extension, Barail Range,...",Interactive SVG/CSS concept breakdown for Central Hills in Central Hills.
ASSAM,Physiographic Divisions & Conservation,Central Hills,Central Hills,"Features: Situated between the two valleys (Karbi Anglong and North Cachar Hills). Geologically, it is an extension of the Indian Peninsular Plateau (Meghalaya plateau).",What is the geographical significance of Features in Central Hills?,"Situated between the two valleys (Karbi Anglong and North Cachar Hills). Geologically, it is an extension of the Indian Peninsular Plateau (Meghalaya plateau).",Which statement identifies statement describes the geographical significance of Features in Central Hills?,"A: It is an arid rain-shadow plateau located in the Deccan Peninsular Interior.; B: Situated between the two valleys (Karbi Anglong and North Cachar Hills). Geologically, it is an extension of the Indian Peninsular Plateau (Meghalaya plateau).; C: It represents a coastal saline wetland system along the Rann of Kutch in Gujarat.; D: It forms part of the Malabar coastal plains with signature backwater kayals in Kerala.",B,"Official ASSAM Syllabus Fact: Situated between the two valleys (Karbi Anglong and North Cachar Hills). Geologically, it is an extension of the Indian Peninsular Plateau (Meghalaya plateau).",Features,Situated between the two valleys (Karbi Anglong and North Cachar Hills...,Interactive SVG/CSS concept breakdown for Central Hills in Central Hills.
ASSAM,Physiographic Divisions & Conservation,Central Hills,Central Hills,"Significance: Comprises rugged terrains, the Barail range, and dense tropical forests. It is home to the state hill station, Haflong.",What is the geographical significance of Significance in Central Hills?,"Comprises rugged terrains, the Barail range, and dense tropical forests. It is home to the state hill station, Haflong.",Which statement identifies statement describes the geographical significance of Significance in Central Hills?,"A: It forms part of the Malabar coastal plains with signature backwater kayals in Kerala.; B: Comprises rugged terrains, the Barail range, and dense tropical forests. It is home to the state hill station, Haflong.; C: It represents a coastal saline wetland system along the Rann of Kutch in Gujarat.; D: It is a rift valley bounded by the Vindhya and Satpura mountain ranges in Central India.",B,"Official ASSAM Syllabus Fact: Comprises rugged terrains, the Barail range, and dense tropical forests. It is home to the state hill station, Haflong.",Significance,"Comprises rugged terrains, the Barail range, and dense tropical forest...",Interactive SVG/CSS concept breakdown for Central Hills in Central Hills.
ASSAM,Physiographic Divisions & Conservation,Barak Valley,North Bank Tributaries (Barak),"Cachar, Hailakandi, Karimganj, tea gardens, Son Beel wetland.",What are the key wildlife sanctuaries and wetland sites in Barak Valley?,"Jiri, Chiri, Madhura, Jatinga, and Larang.",What is the correct East-to-West sequence of North Bank tributaries of the Barak River?,"A: Sonai, Rukni, Ghagra, Katakhal, Dhaleshwari; B: Burhi Dihing, Dikhou, Kopili, Kulsi; C: Subansiri, Jia Bharali, Manas, Sankosh; D: Jiri, Chiri, Madhura, Jatinga, Larang",D,"Official Syllabus Fact: Cachar, Hailakandi, Karimganj, tea gardens, Son Beel wetland.",Jatinga River,Flows through Dima Hasao into Barak.,Top-Down CSS Tree Diagram merging into a thick horizontal central line (the Brahmaputra).
ASSAM,Physiographic Divisions & Conservation,Barak Valley,North Bank Tributaries (Barak),"Tributaries (East to West): Jiri, Chiri, Madhura, Jatinga, and Larang.",Which north-bank tributaries feed into the river system in Barak Valley?,Jatinga River.,Which North Bank tributary of the Barak River flows through the Jatinga valley in Dima Hasao?,A: Jiri River; B: Jatinga River; C: Madhura River; D: Sonai River,B,"Official Syllabus Fact: Jiri, Chiri, Madhura, Jatinga, and Larang.",Jiri River,Manipur-Assam boundary river.,Top-Down CSS Tree Diagram merging into a thick horizontal central line (the Brahmaputra).
