Chapter,Topic,Subtopic,Section,FlashcardsCount,QuizMCQCount,PracticeMatchingCount
ASSAM,Physiographic Divisions & Conservation,Brahmaputra Valley,North Bank Tributaries (Brahmaputra),3,3,10
ASSAM,Physiographic Divisions & Conservation,Brahmaputra Valley,South Bank Tributaries (Brahmaputra),2,2,10
ASSAM,Physiographic Divisions & Conservation,Central Hills,Central Hills,3,3,3
ASSAM,Physiographic Divisions & Conservation,Barak Valley,North Bank Tributaries (Barak),2,2,10
ASSAM,Physiographic Divisions & Conservation,Barak Valley,South Bank Tributaries (Barak),2,2,10
ASSAM,Physiographic Divisions & Conservation,Ecology,Ecological Frameworks Overview,1,1,10
ASSAM,Physiographic Divisions & Conservation,Ecology,Biodiversity Hotspots (BH),1,1,10
ASSAM,Physiographic Divisions & Conservation,Ecology,World Natural Heritage Sites (WNHS),1,1,10
ASSAM,Physiographic Divisions & Conservation,Ecology,Biosphere Reserves (BR),1,1,10
ASSAM,Physiographic Divisions & Conservation,Ecology,7 Declared National Parks (NP),1,1,10
ASSAM,Physiographic Divisions & Conservation,Ecology,Sanctuaries & Wetlands,3,3,10
ASSAM,Physiographic Divisions & Conservation,Wildlife Reserves,Mega-fauna Project Reserves,3,3,10
ASSAM,Physiographic Divisions & Conservation,Transport,National Highways (NH),3,3,5
ASSAM,Physiographic Divisions & Conservation,Transport,Railways,3,3,5
ASSAM,Physiographic Divisions & Conservation,Transport,National Waterways (NW),4,4,3
NE,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh Profile,6,6,10
NE,Arunachal Pradesh,Arunachal Pradesh,Major Hill Ranges (Arunachal Pradesh),1,1,10
NE,Assam,Assam Profile,Assam Profile,5,5,10
NE,Assam,Assam Profile,Major Hill Ranges (Assam),1,1,10
NE,Manipur,Manipur,Manipur Profile,6,6,10
NE,Meghalaya,Meghalaya,Meghalaya Profile,6,6,10
NE,Meghalaya,Meghalaya,Major Hill Ranges (Meghalaya),1,1,10
NE,Mizoram,Mizoram,Mizoram Profile,6,6,10
NE,Nagaland,Nagaland,Nagaland Profile,6,6,10
NE,Tripura,Tripura,Tripura Profile,6,6,10
NE,World Natural Heritage Sites (WNHS),NE Heritage,Kaziranga National Park (Assam),1,1,10
NE,World Natural Heritage Sites (WNHS),NE Heritage,Manas Wildlife Sanctuary (Assam),1,1,10
NE,World Natural Heritage Sites (WNHS),NE Heritage,Moidams – Ahom Dynasty Mounds (Assam),1,1,10
NE,World Natural Heritage Sites (WNHS),NE Heritage,Khangchendzonga National Park (Sikkim),1,1,10
NE,Biosphere Reserves (BR),NE Biosphere,"General Schema (Core, Buffer & Eco-Sensitive Zone)",1,1,10
NE,Biosphere Reserves (BR),NE Biosphere,Manas Biosphere Reserve (Assam),2,2,10
NE,Biosphere Reserves (BR),NE Biosphere,Dibru-Saikhowa Biosphere Reserve (Assam),2,2,10
NE,Biosphere Reserves (BR),NE Biosphere,Nokrek Biosphere Reserve (Meghalaya),2,2,10
NE,Biosphere Reserves (BR),NE Biosphere,Dihang-Dibang Biosphere Reserve (Arunachal Pradesh),2,2,10
INDIA,Physiographic Divisions of India,Himalayas,Subdivisions (West to East),3,3,5
INDIA,Physiographic Divisions of India,Himalayas,Vertical Divisions (South to North),3,3,5
INDIA,Physiographic Divisions of India,Northern Plains,Formation & Soil,2,2,5
INDIA,Physiographic Divisions of India,Northern Plains,Regional Divisions,3,3,5
INDIA,Physiographic Divisions of India,Peninsular Plateau,Central Highlands (Midlands),2,2,5
INDIA,Physiographic Divisions of India,Peninsular Plateau,Deccan Plateau,2,2,5
INDIA,Physiographic Divisions of India,Peninsular Plateau,Mountain Ranges & Peaks,4,4,5
INDIA,Physiographic Divisions of India,Thar & Coastal Plains,The Indian Desert (Thar Desert),2,2,5
INDIA,Physiographic Divisions of India,Thar & Coastal Plains,Western Coastal Plains,2,2,5
INDIA,Physiographic Divisions of India,Thar & Coastal Plains,Eastern Coastal Plains,2,2,5
INDIA,Physiographic Divisions of India,The Islands,Major Island Groups,2,2,5
INDIA,Major River Systems,Himalayan Rivers,The Indus System,2,2,5
INDIA,Major River Systems,Himalayan Rivers,The Ganga System,2,2,5
INDIA,Major River Systems,Himalayan Rivers,The Brahmaputra System,2,2,5
INDIA,Major River Systems,Peninsular Rivers,West-Flowing Rivers,2,2,5
INDIA,Major River Systems,Peninsular Rivers,East-Flowing Rivers,2,2,5
INDIA,Ecological Markers & Conservation,Biodiversity Hotspots (BH),Overview & Indian Hotspots,6,6,5
INDIA,Ecological Markers & Conservation,Natural Heritage,Key Indian Sites,2,2,5
INDIA,Ecological Markers & Conservation,Biosphere Reserves,Network & Recognition,5,5,5
